name,url,email,description,website,instagram,facebook,twitter,youtube,status,,,,,,,,,,,,,,,,,,
Allegrettos,https://terriercentral.bu.edu/organization/allegrettos,allegro@bu.edu,"The Allegrettos are a student-run, all-gender a cappella group at Boston University. Founded in 1994, the group performs throughout the northeast region, records music, and competes in competitions such as the ICCAs. In 2016, The Allegrettos performed for President Barack Obama and First Lady Michelle Obama at the White House! The Allegrettos bring a unique blend of alternative-pop, R&amp;B, and gospel influence to their repertoire. Passionate about recording and sharing their artistry, the group has released a growing catalog of EPs, albums, and singles&mdash;available on all major streaming platforms. Frequent competitors in the International Championship of Collegiate A Cappella (ICCA), The Allegrettos have a long list of awards, most recently earning 2nd Place in the 2024 ICCA Northeast Quarterfinals and advancing to the Semifinals, winning outstanding soloist and choreography.",http://buallegrettos.org,https://instagram.com/buallegrettos,http://facebook.com/facebook.com/buallegrettos,http://twitter.com/twitter.com/BUAllegrettos,https://www.youtube.com/user/BUAllegrettos,success,,,,,,,,,,,,,,,,,,
Allocations Board,https://terriercentral.bu.edu/organization/allocations-board,allocate@bu.edu,"The Allocations Board is an organization on BU's campus tasked with distributing a portion of the Community Student Fee (CSF) to on- and off-campus events held by undergraduate student organizations. The AB is composed entirely of undergraduates from across BU's schools, residence halls, and student groups. Though each member attends every meeting and works through breaks, members receive no compensation other than the joy of supporting and encouraging great events. We hope this site serves both as a resource to groups requesting funding and for students curious about how their CSF is distributed, and how they can become involved in the process. Please contact us, either through this site or at allocate@bu.edu with any questions or concerns.",,https://www.instagram.com/allocatebu/?hl=en,http://facebook.com/BUStudentActivities,http://twitter.com/BU_Allocations,,success,,,,,,,,,,,,,,,,,,
Association of Latino Professionals for America,https://terriercentral.bu.edu/organization/alpfa,alpfa@bu.edu,"ALPFA is a national non-profit organization that has become the largest Latino Association for business professionals and students with more than 92,000 members nationwide, this includes 43 professional and over 150 student chapters. ALPFA connects students with hundreds of its Fortune 1000 partners, providing them access to 50,000 paid summer internships. In addition, ALPFA has hosts events at a local, regional, and national level to develop students from college to career-ready professionals through mentorship, leadership training and development, job placement and philanthropy. Please email us at alpfa@bu.edu or find us on social media @alpfabu for more information!",http://alpfa.org,https://www.instagram.com/alpfabu/,http://facebook.com/alpfabu,,,success,,,,,,,,,,,,,,,,,,
Alpha Chi Sigma,https://terriercentral.bu.edu/organization/alpha-chi-sigma,jsenel@bu.edu,"Alpha Chi Sigma (AXS/&Alpha;&Chi;&Sigma;) is a national co-educational, professional chemistry fraternity dedicated to providing opportunities for study and leadership, as well as forming friendships and connections among students interested in chemistry and related fields. Founded on December 11, 1902, at the University of Wisconsin-Madison, AXS unites collegiate and professional members from a vast range of majors, careers, and professions under the three objects of the fraternity: To bind its members with a tie of true and lasting friendship. To strive for the advancement of chemistry both as a science and as a profession. To aid its members by every honorable means in the attainment of their ambitions as chemists throughout their mortal lives. Through membership, community service, professional development, and social events, AXS aims to serve as the gateway that brings together students from different backgrounds, interests, and mindsets. If you are interested, please check out our website, Instagram, and Facebook in the contact section below, and keep an eye out for our info sessions at the beginning of each semester. Don't hesitate to ask us questions at axs@bu.edu!",http://axs-bu.com,https://www.instagram.com/axsatbu,https://www.facebook.com/axsatbu/,http://twitter.com/alphachisigmabu,,success,,,,,,,,,,,,,,,,,,
Alpha Epsilon Delta,https://terriercentral.bu.edu/organization/alpha-epsilon-delta,aed@bu.edu,"Alpha Epsilon Delta, the only national pre-health honor society, was founded in 1926 at the University of Alabama and is currently one of the 57 members of the Association of College Honor Societies. The primary objectives of AED include promoting the pursuit of scholarly excellence, establishing a network among pre-health students and health educators and professionals, and creating opportunities for personal, intellectual, and professional development. AED serves to prepare students for a life of service. The Boston University Massachusettes Gamma chapter of AED was established in 1979. Members of BU's chapter of AED have organized and participated in social events, informational series, and volunteer projects each school year. These activities have been organized in order to foster a sense of community for the students in AED, to promote pre-health careers, and to benefit the greater Boston community.",http://sites-staging.bu.edu/aed/,instagram.com/aed_bostonu/,https://www.facebook.com/aedbu/?ref=aymt_homepage_panel&eid=ARDCfWMvmgui7Q-yTNiOxQW7KDkTUDzYjoPbOjAocyZAkuhrUB-1T7uxu4riHSf_JWiiU0cuFwvT8XWv,,,success,,,,,,,,,,,,,,,,,,
Alpha Epsilon Phi,https://terriercentral.bu.edu/organization/alpha-epsilon-phi,buaephipres@gmail.com,"Alpha Epsilon Phi is a national sorority, founded in 1909 by seven women, dedicated to helping women become the best they can be. We prize individuality, encouraging each member to discover and develop the talents and abilities that make her unique.But just as we value individuality, we also prize togetherness, fostering friendships and a sense of belonging that last a lifetime. When you're an AE&Phi;, you'll find there's always a sister to laugh when you laugh, to listen when you talk, to lend a hand and be there for you. Mission Statement:The mission of Alpha Epsilon Phi Sorority is to inspire and support exemplary women dedicated to friendship and a lifelong commitment to Alpha Epsilon Phi while building on the vision of our founders.",,,http://facebook.com/www.facebook.com/pages/Alpha-Epsilon-Phi-Boston-University/155373326685,http://twitter.com/twitter.com/aephibu,,success,,,,,,,,,,,,,,,,,,
"Alpha Kappa Alpha Sorority, Inc.",https://terriercentral.bu.edu/organization/alpha-kappa-alpha-sorority-inc,aka.epsilon@gmail.com,"Epsilon Chapter became Massachusetts' first undergraduate chapter of Alpha Kappa Alpha Sorority, Incorporated when it was chartered on May 3, 1924 at Boston University. Since 1924, Epsilon immediately began its legacy of outstanding service and leadership through its innovative programs geared towards solving socio-economic issues within the community. With enthusiasm, strength and pride, the chapter continued to push Alpha Kappa Alpha into the public eye as a premier service organization dedicated to serving all of Mankind. As the Greater Boston City Chapter, the Everloving, Everlasting Epsilon Chapter is dedicated to serving its constituents. It is composed of Babson College, Bentley College, Boston College, Boston University, Brandeis University, Emerson College, Emmanuel College, Pine Manor College, Simmons College, Suffolk University and Tufts University.",http://www.epsilonaka.com,,,,,success,,,,,,,,,,,,,,,,,,
alpha Kappa Delta Phi,https://terriercentral.bu.edu/organization/alpha-kappa-delta-phi,boston.akdphi.president@gmail.com,"alpha Kappa Delta Phi was established at the University of California, Berkeley in the fall of 1989. Four headstrong visionaries: Susan Kim, Fannie Pon, Jill Yoshimura and Reina Yuan, initiated the concept of having an organization that would provide them as well as other young college women the opportunity to experience sisterhood, and to promote what they felt was integral to the development of successful women. After proposing their ideas to women at the Berkeley campus, they along with ten and strong and willful fellow women became the founding sisters of alpha Kappa Delta Phi. Together as the charter class, they dedicated themselves to establishing a strong and lasting organization that would foster not only sisterhood, but scholarship, service, leadership and Asian American awareness as well. The founding sisters: Betty Chu, Karin Co, Susan Kim, Nancy Lee, Sherri Leung, Annie Loo, Belinda Ma, Anita Ng, Serene Ngin, Fannie Pon, Josie Sun, Daisy Wu, Jill Yoshimura and Reina Yuan, came together to share one another's goals for a promising union. These ideals were to later set the foundation and purpose for alpha Kappa Delta Phi. The love and generosity that each member had for the organization was instrumental to the growth of alpha Kappa Delta Phi's reputation as a sorority, as well as to the forging of unbreakable friendships. In its first step towards achieving widespread acknowledgement, alpha Kappa Delta Phi was recognized by the College Panhellenic Association of Berkeley, California on February 7, 1990, which date is celebrated annually as National Founders' Day. The sisterhood has since then spread to prominent university campuses around the nation. To meet the needs of the growing sisterhood, the National Board of alpha Kappa Delta Phi was established in May of 1993 at the National Convention in Santa Barbara, California. It is the sincere wish of the founding sisters that alpha Kappa Delta Phi continue to promote the ideals on which the organization was founded and to provide each woman with the resources, unique sisterly support and understanding to achieve her goals in life. Our mission is to provide sisterhood among women, scholarship, leadership and Asian-awareness in the University and community. Further, also to provide a support group for those in their times of need and to encourage the making of successful women. To accomplish our mission, we will: Create a climate that encourages teamwork, creativity and innovation, and above all, Give our unmoving and absolute support and encouragement to those we hold dear to our hearts.",https://bostonakdphi.wixsite.com/buakdphi,https://www.instagram.com/bostonakdphi/,https://www.facebook.com/bostonakdphi,,,success,,,,,,,,,,,,,,,,,,
Alpha Kappa Psi,https://terriercentral.bu.edu/organization/alpha-kappa-psi,akpsi.nu.chapter@gmail.com,"Alpha Kappa Psi is recognized as the premier developer of principled business leaders. As a professional business fraternity, Alpha Kappa Psi offers an inclusive community with expansive opportunities for networking, mentorship, and professional development.",http://www.buakpsi.com/,https://www.instagram.com/buakpsi/?hl=en,,,,success,,,,,,,,,,,,,,,,,,
Alpha Phi,https://terriercentral.bu.edu/organization/alpha-phi,bualphaphipres@gmail.com,"Founded in 1872 by ten forward thinking women at Syracuse University, Alpha Phi is now one of the oldest and largest women's fraternities in North America. The Eta Chapter of Alpha Phi was founded in 1883 and recently celebrated its 125th anniversary at Boston University. Alpha Phi is one of the largest sororities on Boston University's campus. Although sororities do not have houses at BU, many sisters choose to live together on and off campus. Alpha Phi is visible on campus through attendance at sporting, philanthropy and greek events in addition to hosting multiple philanthropy events. Our three largest annual events are Ivy Man, Alpha Phifa, and The Red Dress Brunch, benefit the Alpha Phi Foundation and the American Heart Association. Alpha Phis are not only philanthropic, but scholarly too! Alpha Phi hosts study hours every week and have an alumni mentorship program which connects current members with alumna.",https://www.alphaphibu.com/,https://www.instagram.com/alphaphibostonu/?hl=en,https://www.facebook.com/alphaphiBU,,https://www.youtube.com/channel/UCukv8ZqGUq4TY5gNQq1DkwA,success,,,,,,,,,,,,,,,,,,
Alpha Phi Alpha,https://terriercentral.bu.edu/organization/alpha-phi-alpha,aphiasigmachapter@gmail.com,"The 17th house of Alpha Phi Alpha, Fraternity, Inc. is the first black Greek lettered organization in Boston, Massachusetts encompassing multiple schools.",http://17th-house.com/,https://www.instagram.com/17thhousealphas/?hl=en,,,,success,,,,,,,,,,,,,,,,,,
Alpha Phi Omega,https://terriercentral.bu.edu/organization/alpha-phi-omega,president.buapo@gmail.com,"LEADERSHIP. FRIENDSHIP. SERVICE. Alpha Phi Omega (APO) is the largest gender-inclusive community service organization in the United States. Our pillars of Leadership, Friendship, and Service guide us as we give back to our campus, community, and country all while making lifelong friendships and gaining essential leadership and professional skills. At BU, the Zeta Upsilon chapter of more than 100 active members unites through our shared passion for ethical volunteerism, commitment to active citizenship, and interest in Boston's unique social justice issues. We offer a variety of service opportunities to address topics ranging from hunger and homelessness to community initiatives and public education. With partners such as the American Red Cross Food Pantry, Community Servings, Women's Lunch Place, East End House, and the Boston Bruins Foundation, there's always a way to make a responsible and effective difference locally! You can learn more about us at https://www.apo-zu.org and follow our Instagram @apozu to see what we're up to! Pledging is open at the beginning of each semester. Please email pledgemaster.buapo@gmail.com or president.buapo@gmail.com for more information.",https://www.apo-zu.org,https://www.instagram.com/apozu/?hl=en,http://facebook.com/apozetaupsilon,,,success,,,,,,,,,,,,,,,,,,
Alpha Delta Pi,https://terriercentral.bu.edu/organization/alphadeltapi,buadpi@gmail.com,"Welcome to the Rho chapter of Alpha Delta Pi! We have a strong sisterhood and a history of excellence. We are a diverse group of women who make a difference in each other's lives, in the community, and on campus. Alpha Delta Pi was founded in 1851, the first ever secret society for women. Rho chapter of Alpha Delta Pi came to Boston University in 1911 and has a long tradition of sisterhood, with our sisters coming from a variety of backgrounds. With a strong commitment to academic excellence, Alpha Delta Pi has held one of the top GPA averages among all sororities for many semesters. Sisters have a variety of academic interests, ensuring there is always a sister who can help you succeed. Alpha Delta Pi also holds two large philanthropy events each year -- Friday Night Lights, a flag-football tournament in the Fall, and a unique event each Spring. Each year, we raise thousands of dollars for our national philanthropy, Ronald McDonald House Charities. We are lucky enough to be able to directly serve the Ronald McDonald House located in Boston Harbor, which is a facility specifically for families whose children are receiving treatment in Boston. Our commitment to our sorority and to each other is strong. Please explore our website and social media platforms to learn more about Alpha Delta Pi!",http://www.buadpi.com/,https://www.instagram.com/buadpi/,,,,success,,,,,,,,,,,,,,,,,,
Alzheimer's Buddies,https://terriercentral.bu.edu/organization/alzheimersbuddies,bu@alzbuddies.org,"Alzheimer's is a prominent disease in the United States, affecting over 5 million Americans, with no cure. As a member of this organization, you will have the opportunity to interact with residents at a local memory care facility, to reflect on these experiences in journals and group meetings, and to discuss the latest developments in Alzheimer's research.",,https://www.instagram.com/bu.alzbuddies/,,,,success,,,,,,,,,,,,,,,,,,
American Institute of Aeronautics & Astronautics,https://terriercentral.bu.edu/organization/american-institute-of-aeronautics-astronautics,aiaa@bu.edu,The Boston University branch of the American Institute of Aeronautics and Astronautics is a professional society dedicated to supporting BU engineers in finding lifelong resources and opportunities in the field. What We Do: 1. Networking Opportunities 2. Conferences &amp; Events 3. Professional Development 4. Scholarships 5. Technical Design Competitions and more Please visit our website for a more in depth description,https://www.bu.edu/aiaa/,https://www.instagram.com/bu_aiaa/,,,,success,,,,,,,,,,,,,,,,,,
American Society of Biochemistry and Molecular Biology,https://terriercentral.bu.edu/organization/american-society-of-bmb,asbmbu@bu.edu,"The American Society of Biochemistry and Molecular Biology is a national organization that works to construct a network of undergraduate students and faculty for the advancement of research, education, and science outreach. Our student chapter provides networking and career development opportunities at regional and national conferences and access to research and science outreach through grant and award funding to all of our members. If you want to learn more about what we do, check out our website and social media linked down below. For those who want to join, simply email us at asbmbu@bu.edu or wait for our info sessions at the beginning of each semester. Chemistry, BMB, Biology CMG, and related majors are all welcome, and feel free to contact us if you have any questions!",https://buasbmb192916699.wordpress.com,https://www.instagram.com/buasbmb/,,,,success,,,,,,,,,,,,,,,,,,
American Society of Mechanical Engineers,https://terriercentral.bu.edu/organization/american-society-of-mechanical-engineers,david101@bu.edu,"ASME is a not-for-profit membership organization that enables collaboration, knowledge sharing, career enrichment, and skills development across all engineering disciplines, toward a goal of helping the global engineering community develop solutions to benefit lives and livelihoods. Founded in 1880 by a small group of leading industrialists, ASME has grown through the decades to include more than 130,000 members in 158 countries. Thirty-thousand of these members are students. From college students and early-career engineers to project managers, corporate executives, researchers and academic leaders, ASME's members are as diverse as the engineering community itself. ASME serves this wide-ranging technical community through quality programs in continuing education, training and professional development, codes and standards, research, conferences and publications, government relations and other forms of outreach. The Boston University chapter of ASME hosts information sessions and networking events for career advice and insight into academia and graduate school. We also host the yearly FE Exam preparation course enabling students interested in taking the FE exam to have the problems explained by ME faculty. To contact ASME@BU: asme@bu.edu",,https://www.instagram.com/buasme/,http://facebook.com/asmeatbu,,,success,,,,,,,,,,,,,,,,,,
American Studies Program Graduate Student Association (Graduate),https://terriercentral.bu.edu/organization/american-studies-gsa,,"The American and New England Studies Graduate Student Association was founded in the spring of 2012 to meet a growing desire for greater community networking and support, to foster collegiality and creative thinking, and to represent student interests in an official manner to the university as well as to the larger community of American Studies graduate programs and scholars both here and abroad.The Association hosts student colloquia (The Americanist Forum), facilitates networking amongst groups and individuals with similar scholarly interests and goals, hosts professional development opportunities, and works to build interdisciplinary, scholarly community at Boston University.",https://blogs.bu.edu/amnesp-gsa/,www.instagram.com/americanstudiesbu,,,,success,,,,,,,,,,,,,,,,,,
Anime Club,https://terriercentral.bu.edu/organization/anime-club,buanime@bu.edu,"The Anime Club is a social group in which both anime enthusiasts and dabblers in the Boston University community can come watch, discuss, and learn more about anime. Our main offering is providing weekly anime programming open to the BU community. We gather in CAS B12 at 6:30PM on most Fridays. We also offer on-campus community events and off-campus group excursions throughout the year. We also have a large library of Blu-rays, light novels, and manga which members can rent throughout the semester. Join our Discord and say hi: https://discord.gg/8ysYsdFV",https://discord.gg/vSWzcvkm,https://www.instagram.com/bostonu_anime/,https://www.facebook.com/BuAnimeClub/,,,success,,,,,,,,,,,,,,,,,,
Anthropology In The Works,https://terriercentral.bu.edu/organization/anthropology-in-the-works,aitw@bu.edu,"We are Anthropology in the Works, a student collective of anthropologists, educators, and activists in training. We envision a world where Anthropology is accessible and understandable beyond academia and theory. We strive to teach how it can be embodied and integrated into personal life and public engagement. We are dedicated to learning more about the traditions and customs of different cultures by hosting and participating in events around campus and the Boston area. We also offer students the opportunity to meet with and get to know the dedicated BU Anthropology Department. Through excursions, discussions, presentations, and celebrations we hope that any student interested in Anthropology can experience firsthand what it means to be an Anthropologist.",https://www.bu.edu/anthrop/undergraduate/anthropology-in-the-works/,https://www.instagram.com/anthroworksbu/,https://www.facebook.com/Boston-University-Anthropology-in-the-Works-Club-102057481579111/about/?ref=page_internal,,,success,,,,,,,,,,,,,,,,,,
Alliance of Portuguese Speakers,https://terriercentral.bu.edu/organization/aps,cagomes@bu.edu,"A student-run organization that focuses on bringing together students of Portuguese heritage and speakers of Portuguese. We hope to connect students from a myriad of diverse cultural backgrounds to practice, learn, and enrich individual knowledge of Portuguese culture and language.",,https://www.instagram.com/bu.aps/,,,,success,,,,,,,,,,,,,,,,,,
Arab Student Organization ,https://terriercentral.bu.edu/organization/arabs,arabsbu@gmail.com,"BUArabs intends to create a community for Arabs at Boston University. We hope to share our passions with Arab students and Non-Arab students interested in our culture. Proud of our heritage, we seek to promote solidarity and identity for all club members. Our social, cultural, and celebratory events are meant to embrace our diverse community. Together, we will create a platform for members to express their ideas and grow academically, socially, and professionally. In doing so, we hope students feel a sense of being back home.",,https://www.instagram.com/bu.arabs/,,,,success,,,,,,,,,,,,,,,,,,
Archaeology Society,https://terriercentral.bu.edu/organization/archaeology-society,aegreen@bu.edu,"Our mission is to learn about, understand, and promote awareness of Archaeology and related fields such as Anthropology, Cultural Hertiage, and Art History all while having an awesome time! We offer an environment in which students can explore and discuss issues relating to Archaeology while participating in a wide variety of activities including workshops, field trips, and lectures. Our club could be your greatest resource for receiving tips on how to become a more competitive archaeologist, getting information on joining a field school, or interacting with celebrated professionals from Boston University and abroad. If you are an Archaeology or Anthropology major, or even if you just have an interest in the exciting field of archaeology, we invite you to explore our website, come to our meetings and activities, or email us to see what we're all about.",,https://www.instagram.com/bu_arch_society/,,,,success,,,,,,,,,,,,,,,,,,
"Arch?, Boston University's Student-Led Journal of Philosophy ",https://terriercentral.bu.edu/organization/arche,arche@bu.edu,"Arch&eacute;, Boston University's Student-Led Journal of Philosophy, is edited and published by motivated, inquisitive undergraduate students from diverse academic backgrounds in the College of Arts &amp; Sciences in coordination with the Department of Philosophy. We strive to highlight exceptional student work, providing undergraduates and graduates at BU and around the world with a platform to share their writing with a general philosophical readership. We are dedicated to helping students bridge the gap between the kind of writing that is expected of them in their coursework and the kind of writing that is expected of an academic philosopher. For more information and to attend a general meeting, please contact the editors at arche@bu.edu.",https://www.bu.edu/arche/,https://www.instagram.com/arche.journal/,,,,success,,,,,,,,,,,,,,,,,,
