Club Name,Keywords
Consulting Group,Business; Professional Development
Cru,Christian
Community Service Center,Community Service
Computer Science Club,Technology; Environmental; Professional Development
Cybersecurity Association,Business; Technology
Dance Theatre Group,Dance; Theater
Dance Team,Dance; Theater; Community Service; Team Sports; Women-Focused
Deaf Studies Club,General Interest
Debate Society,General Interest
Delta Delta Delta,Greek Life; Women-Focused
Delta Gamma,Community Service; Greek Life; Women-Focused
Delta Kappa Alpha,Business; Film & Media; Greek Life
Delta Phi Epsilon International,Business; Law; Politics; Film & Media; Community Service; Professional Development
Delta Sigma Pi,Business; Healthcare; Film & Media; Writing; Community Service; Team Sports; Greek Life; Professional Development; Women-Focused
Dheem: Indian Classical Arts Association,Law; Dance; South Asian; Social Justice
Diversity in Law Association,Law; Social Justice; Professional Development
Dodgeball Club,Environmental
The DREAM Program,General Interest
Dominican Student Association at BU,General Interest
Edge Dance Company,Dance; Theater
Egyptian Club,Politics
Elementary Education,Community Service
Emergency Medical Service Club,Healthcare; Community Service
ENG Student Government,Politics; Theater
Engineers Without Borders,Engineering
Entrepreneur's Club,Business
Environmental Student Organization,Law; Film & Media; Social Justice; Environmental
Epsilon Eta,Community Service; Environmental; Greek Life
Eritrean and Ethiopian Students Association,Law; Dance; African; Social Justice
Etc. Choir,Music; Theater; LGBTQ+
F1Tenth Autonomous Racing Organization at Boston University,Technology; Science; Engineering; Environmental
Fabrio,Environmental
Fashion and Retail Association,Professional Development
Fatakada,Dance; South Asian
FeelGood World,Community Service; International
Fenway Campus Hall Council,General Interest
Filipino Student Association,Dance; Film & Media; Southeast Asian; Individual Sports; Food & Cooking
Film Society,Theater; Film & Media
FilmBiz: Boston University?? Entertainment Business Club,Business; Music; Theater; Film & Media; Professional Development
Finance and Investment Club,Business
Financial Modeling Club,Business; Professional Development
Financial Technology Group,Business
First Generation and/or Low Income Partnership,Technology; Healthcare; Mental Wellness; Community Service; Social Justice; Food & Cooking
FORGE Design Studios,Technology; Visual Arts; Film & Media; Professional Development
Fort?,Music; Women-Focused
French Club,Film & Media; Environmental
Fusion,Dance; Theater
Gaming Club,Gaming
Gamma Phi Beta,Greek Life; Women-Focused
German Culture Club,Environmental
Girl Gains Boston University,Fitness; Women-Focused
Global China Connection,Environmental; Professional Development; International
Global Engineering Brigade,Engineering; Healthcare; Community Service; International; Food & Cooking
Global Medical Brigades,Healthcare; Community Service; International
Global Tea Club at Boston University,East Asian; International
Graphic Medicine Club,Healthcare
GroupIRean: Korean Diplomatic and Political Association,Politics; East Asian; International
Ghanaian Student Organization,African
Guerrilla Marketing Society,Business
Hack4Impact,Technology; Community Service
HackHardware,Technology; Engineering
Half-Asian People's Association,General Interest
Hawaii Cultural Association,General Interest
Healthcare Improvement Inc,Business; Healthcare; Law
Hearts for the Homeless Boston,Healthcare; Community Service
Hellenic Association,General Interest
Helping Hands for the Homeless,General Interest
Her Campus Boston University,Healthcare; Mental Wellness; Film & Media; Professional Development; Women-Focused
Her Financial Future,Business; Professional Development; Women-Focused
herNetwork - Boston University Women in Business,Business; Professional Development; Women-Focused
High Performance Computing Club,Technology; Engineering; Theater; International
Hillel Students Organization,Politics; Jewish
Hong Kong Student Association,East Asian
Hospitality Association at BU,Professional Development
Howard Thurman Center,General Interest
IEEE Student Chapter/IEEE-HKN,Engineering; Professional Development
India Club,Music; Dance; Theater
Indonesian Student Association,Southeast Asian
INK Illustration Club,Visual Arts
Inner Strength Gospel Choir,Music; Christian; Community Service
"Interface of Science, Technology, Engineering, and Policy",Technology; Engineering; Politics; Social Justice
Inter Fraternity Council,Social Justice; Greek Life
International Affairs Association,Writing; International
"Delta Sigma Theta Sorority, Inc.",Greek Life; Women-Focused
Persian Students Association,Middle Eastern
Islamic Society,Muslim
Italian Students Association,Writing; Environmental; Food & Cooking
It's On Us ,Environmental; Women-Focused
Jains In Voice and Action,General Interest
Jalwa,Dance
Japanese Student Association,Film & Media; East Asian; Food & Cooking
Jewish on Campus at Boston University,Film & Media; Jewish; LGBTQ+
Kappa Alpha Theta,Visual Arts; Film & Media; Community Service; Women-Focused
Kappa Delta,Community Service; Women-Focused
Kappa Kappa Psi,Community Service; Greek Life
Kappa Sigma,Community Service; Greek Life; LGBTQ+
"Kappa Alpha Psi Fraternity, Inc",Greek Life
(Kasual)Kicks Soccer Club,Environmental; Team Sports
Qazaq Student Association,General Interest
Camp Kesem,General Interest
Korean Graduate Student Association,East Asian
Khmer Student Association at Boston University,Politics; Environmental
Kidney Disease Screening and Awareness Program,Healthcare
Knitting Club,General Interest
Korean Communication Association,Film & Media; Writing; East Asian
Korean Student Association,East Asian; Professional Development
Kappa Theta Pi,Greek Life
La Casa Peruana,General Interest
Lambda Chi Alpha,Community Service; Greek Life; LGBTQ+
LatinasBU,Technology; Latin American; Social Justice; Professional Development
Lebanese Club,Politics; Middle Eastern
Let's Talk About It,Healthcare; Mental Wellness; Film & Media; Environmental; Fitness
Linguistics Association,General Interest
Liquid Fun,Theater; Food & Cooking
Los Mariachi Terriers,General Interest
Lower Bay State Road Hall Council,General Interest
Mathematics Association at BU,General Interest
Mahjong Club,General Interest
Malaysian Cultural Association,Community Service
Marine Science Association,General Interest
Medical Ethics Society,Healthcare
Mexican Students Association,Latin American; LGBTQ+
MicroFinance Initiative,Business; Politics
Migration Tales,Film & Media; Community Service
Mind and Brain Society,Science; Mental Wellness; Community Service; Professional Development
Minority Association of Pre-Medical/Health Students,Healthcare; Community Service; Professional Development
Mixed Student Union,General Interest
miXx K-Pop Cover Dance Crew,Music; Dance; East Asian
Mock Mediation Organization,Law
Mock Trial Organization,Theater
Mu Epsilon Delta,Healthcare; Community Service; Greek Life; Professional Development
Music Business Club,Business; Music; Professional Development
Mustard Seed,Music
Flag Football Club,Team Sports
North African Student Organization ,African
National Society of Black Engineers,Community Service
National Student Speech Language Hearing Association,General Interest
Navigators Christian Fellowship,Christian
NMDP,Mental Wellness; Community Service
Undergraduate Sociology Association ,General Interest
Nutrition and Dietetics Club,Healthcare; Mental Wellness; Food & Cooking
The Orthodox Christian Fellowship of BU,Film & Media; Christian; Community Service
Off The Cuff Magazine,Visual Arts; Writing
Off The Hook,Community Service
Oral Health Advocacy-BU,Healthcare; Community Service; Social Justice
Omega Phi Alpha,Healthcare; Mental Wellness; Community Service; Greek Life
On Broadway,Music; Theater; LGBTQ+
On Tap,Dance
One Voice,Music
Organization of Pakistani Students,Politics; South Asian; LGBTQ+
Outing Club,Environmental
Overarching Executive Council,General Interest
Phi Alpha Delta,Law; Greek Life
Panhellenic Council,Greek Life; Professional Development
PERIOD.,Film & Media; Community Service; Social Justice
Phi Gamma Nu,General Interest
Phi Chi Theta Business Fraternity,Business; Greek Life
"Philosophy, Politics & Economics Society",Business
Society of Physics Students,Science; Professional Development
Pre-Health Professionals Club,Healthcare; Community Service; Environmental
Physical Therapy Association (Graduate) - 32375,Mental Wellness
Pi Kappa Alpha,Community Service; Greek Life
Pioneer Impact Consulting,Business
The Pinky Toe Paper,Technology; Theater; Visual Arts; Film & Media; Writing; LGBTQ+
Phi Kappa Tau ,Politics; Community Service; Environmental; Greek Life
PMReady,Business; Technology; Writing
Pre Dental Society,Healthcare; Professional Development
Pre-Law Review,Law; Writing
Pre-Law Society,Law; Professional Development
Pre-Physician Assistant Club,Healthcare; Community Service
Pre-Veterinary and Animal Lovers Society,Community Service
Pre-Medical Society,Healthcare; Community Service; Environmental; Professional Development
Pride in Business,Business; LGBTQ+
Prison Outreach Initiative at BU,Law; Film & Media; Community Service
Project Sunshine,Healthcare; Community Service
Public Relations Student Society of America,Professional Development
Puerto Rican Student Association,Latin American; Environmental
Queer Activist Collective,Technology; Healthcare; Law; Social Justice; LGBTQ+
LOCK Honorary Service Society,Community Service
Questrom Student Government,Business; Politics; Environmental; Professional Development
Red Cross Volunteers,Healthcare; Community Service
Red Star Theater,Theater; East Asian
Reformed University Fellowship at Boston University,Christian
Rhythm n Beat,Dance; Theater
"Retail, Luxury & Consumer Association",Business; Professional Development
Rocket Propulsion Group,Technology; Engineering
Rotaract,Community Service; Environmental; Professional Development; Food & Cooking
Running Club,Individual Sports; Fitness
Russian Speaking Society,Food & Cooking
Sabor Latino,Music; Dance; Latin American
Sports Analytics Group at BU,Technology; Professional Development
SAR Student Government,Politics
Sargent College Honor Society,General Interest
Saudi Cultural Club,Professional Development
SciBU: Journal of Undergraduate Science and Research,Science; Film & Media; Writing
Students of East African Ancestry,Politics; African
School of Hospitality Administration Student Government ,Politics
SHADES,LGBTQ+
Shakespeare Society,Theater
Sigma Delta Tau,Women-Focused
Sigma Kappa,Community Service; Greek Life; Women-Focused
Sigma Chi,Law; Greek Life
Sikh Association at Boston University,Community Service
Singapore Students Association,Food & Cooking
Sisters United,Professional Development; Women-Focused
Slippery When Wet,Music; Dance; Theater
Smash Bros Society,General Interest
Society of Asian Scientists and Engineers,Business; Engineering; Latin American; Professional Development; Women-Focused; International
Society of Hispanic Professional Engineers,Healthcare; Mental Wellness; Latin American; Social Justice; Food & Cooking
Society of Professional Journalists,Film & Media
Society of Women Engineers,Engineering; Women-Focused
SOON Movement,East Asian; Christian
Study of Religions Club,Film & Media
Society of Sci-Fi & Horror,General Interest
Generational Black American Student Organization,Social Justice; Environmental
South Campus Hall Council,General Interest
Spoon University,Business; Visual Arts; Film & Media; Writing; Professional Development; Food & Cooking
Stage Troupe,Theater; Film & Media; Writing
Stand Up Club,Theater
Stock Trading at Boston University,General Interest
Student Elections Commission,Business; Politics
Student Government,Politics
Students for Reproductive Freedom,Healthcare; Law
Students Learning about Israel-Palestine,General Interest
Students of Caribbean Ancestry,Caribbean; South Asian; Food & Cooking
Suno,Music; Dance; South Asian
Survivor: Boston University,Film & Media; Individual Sports; Gaming
Sustainable Ocean Alliance,Business; Healthcare; Environmental
Sustainable Business Club,Business; Environmental; International
Society of Women in Space Exploration,Women-Focused
Girls Inc,Professional Development; Women-Focused
Taiwanese American Student Association,East Asian
Taiwanese Overseas Students Association,East Asian; Community Service; Professional Development
TAMID Group,Business; Community Service; Professional Development
Tau Beta Pi Association,Engineering
Tau Beta Sigma,Music; Greek Life
Terpsichore,Music
Terrier Motorsport,Business; Engineering
Test Club,General Interest
Thai Student Association,Dance; Southeast Asian; Food & Cooking
The Buzz,Mental Wellness; Music; Film & Media; Writing; Food & Cooking
The Dear Abbeys,Music; Community Service
The Politica at Boston University,Business; Law; Politics; Film & Media; Writing; Social Justice; International
The Word and Way Society,General Interest
The Beacon at Boston University,Visual Arts; Film & Media; Writing
Theta Chi Fraternity,Community Service; Greek Life
Theta Tau,Engineering; Greek Life
The Women's Network: BU,Professional Development; Women-Focused
Trans Listening Circle,LGBTQ+
Treblemakers,Music
Terrier Ride Engineering Club,Engineering; Professional Development
The Boston Chapter of The Urban Garden Initiative,Writing; Community Service; Social Justice; Individual Sports
Turkish Student Association,Middle Eastern
Undergraduate Economics Association,Business
Undergraduate English Literature Association,Professional Development
Umoja,Technology; Community Service; Environmental
Undergraduate Classics Association,General Interest
Undergraduate History Association,General Interest
Undergraduate Philosophy Association,Technology; Music
Undergraduate Public Health Association,Science; Healthcare; Professional Development
Undergraduate World Languages & Literatures Association,Professional Development; International
UNICEF Campus Initiative,Healthcare; International
Unmanned Aerial Vehicles Team,Engineering
Unofficial Project,Dance
Untangle,Visual Arts; Writing
Upper Bay State Road Hall Council,General Interest
Upper Commonwealth Avenue Hall Council,General Interest
Upsilon Pi Epsilon,General Interest
Urbanism Club at BU,General Interest
Undergraduate Women in Science and Engineering,Engineering; Community Service; Women-Focused
Verge,Dance; Theater; East Asian
Veteran Assist,Community Service
Vibes,Dance; Social Justice; Women-Focused; LGBTQ+
Vietnamese Student Association,Southeast Asian
Volunteers for Inclusion and Accessibility,General Interest
Vakhri Taur Diyan ,Women-Focused
Wandering Minds,Theater
Warren Towers Hall Council,General Interest
West Campus Hall Council,General Interest
Wheelock Student Government,Politics
Women In Law,Healthcare; Law; Social Justice; Environmental; Professional Development; Women-Focused
Women in Neuroscience,Science; Women-Focused
Women in Computer Science,Business; Technology; Engineering; Healthcare; Individual Sports; Professional Development; Women-Focused
Latin American Business Association,Business; Latin American; Professional Development; International
Youth Empowerment Ministry Boston University,Christian; Social Justice
Zen Community,Mental Wellness; Buddhist; Fitness
